ItemID,PROD_CD,UnitPerCase,CaseWeight,UnitWeight,CaseDimensionL,CaseDimensionW,CaseDimensionH
DF4018,DF4019_RED,30,23,0.8,0,0,0
DF4020,DF4020_BLK,30,37,1.25,0,0,0
DF4020,DF4020_RBLU,30,37,1.25,0,0,0
DF4020,DF4020_RED,30,37,1.25,0,0,0
DF4021,DF4021_BLK,30,34,1.15,0,0,0
DF4021,DF4021_RBLU,30,34,1.15,0,0,0
DF4021,DF4021_RED,30,34,1.15,0,0,0
DF4021,DF4022_BLK,10,26,2.6,21,13,14
DF4021,DF4022_NVY,10,26,2.6,21,13,14
DF4021,DF4023_BLK,10,32,3.2,26,12,13
DF4021,DF4024_BLK,10,34,3.4,0,0,0
DF4021,DF4024_RED,10,34,3.4,0,0,0
DF4025,DF4025_WWB,40,30,0.75,0,0,0
DF4025,DF4025_WWR,40,30,0.75,0,0,0
DF4026,DF4026_WWB,40,28,0.7,0,0,0
DF4026,DF4026_WWNBLUE,40,28,0.7,0,0,0
DF4026,DF4026_WWR,40,28,0.7,0,0,0
DF4027,DF4027_BLK,40,34,0.85,0,0,0
DF4027,DF4027_BLU,40,34,0.85,0,0,0
DF4027,DF4027_LGRYWB,40,34,0.85,0,0,0
DF4027,DF4027_RWB,40,34,0.85,0,0,0
DF4028,DF4028_BLK,25,30,1.2,0,0,0
DF4028,DF4028_NVY,25,30,1.2,0,0,0
DF4028,DF4028_RBLU,25,30,1.2,0,0,0
DF4028,DF4028_RED,25,30,1.2,0,0,0
DF4029,DF4029_BLK,50,32,0.65,0,0,0
DF4029,DF4029_NVY,50,32,0.65,0,0,0
DF4029,DF4029_RBLU,50,32,0.65,0,0,0
DF4029,DF4029_RED,50,32,0.65,0,0,0
DF4030,DF4030_BLK,50,30,0.6,22,11,19
DF4030,DF4030_LBLU,50,30,0.6,22,11,19
DF4030,DF4030_PNK,50,30,0.6,22,11,19
DF4030,DF4030_RBLU,50,30,0.6,22,11,19
DF4030,DF4030_RED,50,30,0.6,22,11,19
DF4030,DF4031_NAT,50,27,0.55,0,0,0
DF4030,DF4031_TAP,50,27,0.55,0,0,0
DF4032,DF4032_TAP,50,27,0.55,0,0,0
DF4033,DF4033_BLK,80,22,0.3,0,0,0
DF4033,DF4033_HPNK,80,22,0.3,0,0,0
DF4033,DF4033_PUR,80,22,0.3,0,0,0
DF4033,DF4033_RBLU,80,22,0.3,0,0,0
DF4033,DF4033_RED,80,22,0.3,0,0,0
DF4034,DF4034_BLK,50,27,0.55,16,13,14
DF4034,DF4034_LBLU,50,27,0.55,16,13,14
DF4034,DF4034_PNK,50,27,0.55,16,13,14
DF4034,DF4034_RBLU,50,27,0.55,16,13,14
DF4035,DF4035_CWB,50,40,0.85,18,20,14
DF4035,DF4035_CWRBLU,50,40,0.85,18,20,14
DF4036,DF4036_BLK,100,38,0.38,23,14,18
DF4036,DF4036_NVY,100,38,0.38,23,14,18
DF4036,DF4036_RBLU,100,38,0.38,23,14,18
DF4036,DF4036_RED,100,38,0.38,23,14,18
DF4036,DF4036_TEA,100,38,0.38,23,14,18
DF4036,DF4036_WHT,100,38,0.38,23,14,18
DF4036,DF4037_BLK,100,25,0.25,0,0,0
DF4036,DF4037_RED,100,25,0.25,0,0,0
DF4036,DF4038_NVY,100,25,0.25,0,0,0
DF4036,DF4038_RED,100,25,0.25,0,0,0
DF4039,DF4039_BLK,50,42,0.85,0,0,0
DF4040,DF4040_NWB,40,30,0.75,0,0,0
DF4040,DF4040_NWNVY,40,30,0.75,0,0,0
DF4041,DF4041_BLK,100,29,0.29,24,12,13
DF4041,DF4041_NVY,100,29,0.29,24,12,13
DF4041,DF4041_RBLU,100,29,0.29,24,12,13
DF4041,DF4041_RED,100,29,0.29,24,12,13
DF4041,DF4041_TEA,100,29,0.29,24,12,13
DF4042,DF4042_BLK,50,32,0.65,18.5,14,11.5
DF4042,DF4042_NVY,50,32,0.65,18.5,14,11.5
DF4042,DF4042_RBLU,50,32,0.65,18.5,14,11.5
DF4042,DF4042_RED,50,32,0.65,18.5,14,11.5
DF4042,DF4042_TEA,50,32,0.64,18.5,14,11.5
DF4042,DF4043_BLK,30,40,1.35,0,0,0
DF4042,DF4043_NVY,30,40,1.35,0,0,0
DF4044,DF4044_ORG,50,32,0.65,0,0,0
DF4044,DF4044_RBLU,50,32,0.65,0,0,0
DF4044,DF4044_RED,50,32,0.65,0,0,0
DF4045,DF4045_RBLU,50,33,0.66,0,0,0
DF4046,DF4046_LGRN,30,47,1.57,0,0,0
DF4046,DF4046_RED,30,47,1.57,0,0,0
DF4047,DF4047_BLK,50,30,0.6,0,0,0
DF4047,DF4047_NVY,50,30,0.6,0,0,0
DF4047,DF4047_RBLU,50,30,0.6,0,0,0
DF4047,DF4047_RED,50,30,0.6,0,0,0
DF4047,DF4048_BLK,15,32,2.15,0,0,0
DF4047,DF4048_NVY,15,32,2.15,0,0,0
DF4047,DF4049_BLK,30,29,1,0,0,0
DF4047,DF4049_NVY,30,29,1,0,0,0
DF4050,DF4050_WWB,50,24,0.48,19,11,13
DF4050,DF4050_WWRBLU,50,24,0.48,19,11,13
DF4051,DF4051_BLK,250,25,0.1,0,0,0
DF4051,DF4051_NVY,250,24,0.1,0,0,0
DF4051,DF4051_RBLU,250,24,0.1,0,0,0
DF4051,DF4051_RED,250,24,0.1,0,0,0
DF4051,DF4051_TEA,250,24,0.1,0,0,0
DF4052,DF4052_BLK,15,33,2.2,0,0,0
DF4052,DF4052_NVY,15,33,2.2,0,0,0
DF4052,DF4053_BLK,10,27,2.7,0,0,0
DF4052,DF4053_SWB,10,27,1.7,0,0,0
DF4054,DF4054_BLK,10,27,2.7,0,0,0
DF4054,DF4054_SWB,10,27,2.7,0,0,0
DF4054,DF4055/BLU,50,14,0.28,0,0,0
DF4054,DF4055/RED,50,14,0.28,22,11,21
DF4054,DF4056/BLK,100,18,0.18,17,16,17
DF4054,DF4056/BLU,100,18,0.18,17,16,17
DF4054,DF4056/GRN,100,18,0.18,17,16,17
DF4054,DF4056/RED,100,18,0.18,17,16,17
DF4057,DF4057/BLK,100,19,0.19,19,15,15
DF4057,DF4057/BLU,100,19,0.19,19,15,15
DF4057,DF4057/GRN,100,19,0.19,19,15,15
DF4057,DF4057/RED,100,19,0.19,19,15,15
DF4058,DF4058/BLK,40,12,0.3,0,0,0
DF4058,DF4058/BRN,40,12,0.3,0,0,0
DF4058,DF4058/GRN,40,12,0.3,0,0,0
DF4058,DF4058/NAT,40,12,0.3,0,0,0
DF4059,DF4059/BLK,100,16,0.16,18,14,16
DF4059,DF4059/BLU,100,16,0.16,18,14,16
DF4059,DF4059/GRN,100,16,0.16,18,14,16
DF4059,DF4059/ORG,100,16,0.16,18,14,16
DF4059,DF4059/RED,100,16,0.16,18,14,16
DF4060,DF4060/BLK,100,16,0.16,20,14,16
DF4060,DF4060/BLU,100,16,0.16,20,14,16
DF4060,DF4060/RED,100,16,0.16,20,14,16
DF4061,DF4061/BLK,100,19,0.19,21,16,13
DF4061,DF4061/BLU,100,19,0.19,21,16,13
DF4061,DF4061/RED,100,19,0.19,21,16,13
DF4062,DF4062/BLU,50,14,0.28,20,10,17
DF4062,DF4062/GRN,50,14,0.28,20,10,17
DF4062,DF4062/ORG,50,14,0.28,0,0,0
DF4062,DF4062/RED,50,14,0.28,20,10,17
DF4063,DF4063/BLK,100,21,0.21,20,12,16
DF4063,DF4063/BLU,100,21,0.21,20,12,16
DF4063,DF4063/GRN,100,21,0.21,20,12,16
DF4063,DF4063/RED,100,21,0.21,20,12,16
DF4064,DF4064/BLK,50,0.34,17,0,0,0
DF4064,DF4064/GRN,50,0.34,17,0,0,0
DF4065,DF4065,50,23,0.46,0,0,0
DF4066,DF4066,100,31,0.31,0,0,0
DF4067,DF4067/BLK,100,24,0.24,0,0,0
DF4067,DF4067/BLU,100,24,0.24,0,0,0
DF4067,DF4067/GRN,100,24,0.24,0,0,0
DF4067,DF4067/RED,100,24,0.24,0,0,0
DF4068,DF4068/BLK,50,11,0.22,20,18,11
DF4068,DF4068/BLU,50,11,0.22,20,18,11
DF4068,DF4068/GRN,50,11,0.22,20,18,11
DF4068,DF4068/RED,50,11,0.22,20,18,11
DF4069,DF4069/BLK,50,18,0.36,22,20,15
DF4069,DF4069/BLU,50,18,0.36,22,20,15
DF4069,DF4069/GRN,50,18,0.36,22,20,15
DF4069,DF4069/RED,50,18,0.36,22,20,15
DF4070,DF4070/BLK,50,24,0.48,27,16,16
DF4070,DF4070/BLU,50,24,0.48,27,19,16
DF4070,DF4070/GRN,50,24,0.48,27,19,16
DF4070,DF4070/RED,50,24,0.48,27,19,16
DF4071,DF4071/BLK,100,22,0.22,0,0,0
DF4071,DF4071/BLU,100,22,0.22,0,0,0
DF4071,DF4071/GRN,100,22,0.22,0,0,0
DF4071,DF4071/RED,100,22,0.22,0,0,0
DF4071,DF4072/BLK,100,18,0.18,23,22,13
DF4071,DF4072/BLU,100,18,0.18,23,22,13
DF4071,DF4072/GRN,100,18,0.18,23,22,13
DF4071,DF4072/RED,100,18,0.18,23,22,13
DF4073,DF4073/BLK,100,35,0.35,16,31,15
DF4073,DF4073/BLU,100,35,0.35,16,31,15
DF4073,DF4073/GRN,100,35,0.35,16,31,15
DF4073,DF4073/LIM,100,35,0.35,16,31,15
DF4073,DF4073/NBL,100,35,0.35,16,31,15
DF4073,DF4073/RED,100,35,0.35,16,31,15
DF4074,DF4074/BLK,100,14,0.14,19,11,16
DF4074,DF4074/GRN,100,14,0.14,19,11,16
DF4074,DF4074/LIM,100,14,0.14,19,11,16
DF4074,DF4074/PNK,100,14,0.14,19,11,16
DF4074,DF4074/PUR,100,14,0.14,19,11,16
DF4074,DF4074/RBL,100,14,0.14,19,11,16
DF4074,DF4074/RED,100,14,0.14,19,11,16
DF4075,DF4075/BLK,100,28,0.28,0,0,0
DF4075,DF4075/GRN,100,28,0.28,0,0,0
DF4075,DF4075/GRY,100,28,0.28,0,0,0
DF4075,DF4075/PUR,100,28,0.28,0,0,0
DF4075,DF4075/RBL,100,28,0.28,0,0,0
DF4075,DF4075/RED,100,28,0.28,0,0,0
DF4076,DF4076/LIM,50,22,0.44,0,0,0
DF4076,DF4076/RBL,50,22,0.44,0,0,0
DF4076,DF4076/RED,50,22,0.44,0,0,0
DF4077,DF4077/GRY,50,25,0.5,18,11,15
DF4077,DF4077/LIM,50,25,0.5,18,11,15
DF4077,DF4077/NBL,50,25,0.5,18,11,15
DF4077,DF4077/ORG,50,25,0.5,18,11,15
DF4077,DF4077/PUR,50,25,0.5,18,11,15
DF4077,DF4077/RED,50,25,0.5,18,11,15
DF4078,DF4078/BLK,50,29,0.58,0,0,0
DF4078,DF4078/BRN,50,29,0.58,0,0,0
DF4078,DF4078/RBL,50,29,0.58,0,0,0
DF4078,DF4078/RED,50,29,0.58,0,0,0
DF4079,DF4079/BLK,50,31,0.62,21,10,15
DF4079,DF4079/RBL,50,31,0.62,21,10,15
DF4079,DF4079/RED,50,31,0.62,21,10,15
DF4080,DF4080/BLK,50,31,0.62,21,13,14
DF4080,DF4080/NAT,50,31,0.62,21,13,14
DF4080,DF4080/RBL,50,31,0.62,21,13,14
DF4080,DF4080/RED,50,31,0.62,21,13,14
DF4081,DF4081,50,27,0.54,0,0,0
DF4082,DF4082/BLK,200,26,0.13,20,13,17
DF4082,DF4082/BUR,200,26,0.13,20,13,17
DF4082,DF4082/GLD,200,26,0.13,20,13,17
DF4082,DF4082/GRN,200,26,0.13,20,13,17
DF4082,DF4082/LIM,200,26,0.13,20,13,17
DF4082,DF4082/NBL,200,26,0.13,20,13,17
DF4082,DF4082/ORG,200,26,0.13,20,13,17
DF4082,DF4082/PUR,200,26,0.13,20,13,17
DF4082,DF4082/RBL,200,26,0.13,20,13,17
DF4082,DF4082/RED,200,26,0.13,20,13,17
DF4083,DF4083/BLK,200,39,0.2,20,15,16
DF4083,DF4083/GRN,200,39,0.2,20,15,16
DF4083,DF4083/LIM,200,39,0.2,20,15,16
DF4083,DF4083/RBL,200,39,0.2,20,15,16
DF4083,DF4083/RED,200,39,0.2,20,15,16
DF4084,DF4084/BLK,200,38,0.2,20,15,16
DF4084,DF4084/LIM,200,38,0.2,20,15,16
DF4084,DF4084/PUR,200,38,0.2,20,15,16
DF4084,DF4084/RBL,200,38,0.2,20,15,16
DF4084,DF4084/RED,200,38,0.2,20,15,16
DF4084,DF4085,100,42,0.42,0,0,0
DF4086,DF4086/BLK,50,34,0.68,20,15,15
DF4086,DF4086/GRY,50,34,0.68,20,15,15
DF4086,DF4086/LIM,50,34,0.68,20,15,15
DF4086,DF4086/ORG,50,34,0.68,20,15,15
DF4086,DF4086/RBL,50,34,0.68,20,15,15
DF4086,DF4086/RED,50,34,0.68,20,15,15
DF4087,DF4087/BLK,40,28,0.7,18,14,16
DF4087,DF4087/RBL,40,28,0.7,18,14,16
DF4087,DF4087/RED,40,28,0.7,18,14,16
DF4088,DF4088/BLK,50,31,0.62,18,16,15
DF4088,DF4088/LIM,50,31,0.62,18,16,15
DF4088,DF4088/RBL,50,31,0.62,18,16,15
DF4088,DF4088/RED,50,31,0.62,18,16,15
DF4089,DF4089/BLK,25,21,0.88,19,11,15
DF4089,DF4089/GRN,25,21,0.88,19,11,15
DF4090,DF4090/BLK,50,23,0.46,20,11,15
DF4090,DF4090/GRY,50,23,0.46,20,11,15
DF4090,DF4090/LIM,50,23,0.46,20,11,15
